"Step","infer-ready640 - psnr","infer-ready640 - psnr__MIN","infer-ready640 - psnr__MAX"
"0","32.74033333333334","32.74033333333334","32.74033333333334"
"1","34.175","34.175","34.175"
"2","34.175","34.175","34.175"
"3","34.175","34.175","34.175"
"4","34.175","34.175","34.175"
"5","34.175","34.175","34.175"
"6","34.175","34.175","34.175"
"7","34.175","34.175","34.175"
"8","37.092999999999996","37.092999999999996","37.092999999999996"
"9","39.03833333333334","39.03833333333334","39.03833333333334"
"10","39.03833333333334","39.03833333333334","39.03833333333334"
"11","39.03833333333334","39.03833333333334","39.03833333333334"
"12","39.03833333333334","39.03833333333334","39.03833333333334"
"13","39.03833333333334","39.03833333333334","39.03833333333334"
"14","39.03833333333334","39.03833333333334","39.03833333333334"
"15","39.03833333333334","39.03833333333334","39.03833333333334"
"16","39.03833333333334","39.03833333333334","39.03833333333334"
"17","39.03833333333334","39.03833333333334","39.03833333333334"
"18","39.03833333333334","39.03833333333334","39.03833333333334"
"19","39.03833333333334","39.03833333333334","39.03833333333334"