"Step","infer-bosphorus640 - psnr","infer-bosphorus640 - psnr__MIN","infer-bosphorus640 - psnr__MAX"
"0","37.105000000000004","37.105000000000004","37.105000000000004"
"1","38.15833333333333","38.15833333333333","38.15833333333333"
"2","38.15833333333333","38.15833333333333","38.15833333333333"
"3","38.15833333333333","38.15833333333333","38.15833333333333"
"4","38.15833333333333","38.15833333333333","38.15833333333333"
"5","38.15833333333333","38.15833333333333","38.15833333333333"
"6","38.15833333333333","38.15833333333333","38.15833333333333"
"7","38.15833333333333","38.15833333333333","38.15833333333333"
"8","40.82733333333332","40.82733333333332","40.82733333333332"
"9","42.606666666666655","42.606666666666655","42.606666666666655"
"10","42.606666666666655","42.606666666666655","42.606666666666655"
"11","42.606666666666655","42.606666666666655","42.606666666666655"
"12","42.606666666666655","42.606666666666655","42.606666666666655"
"13","42.606666666666655","42.606666666666655","42.606666666666655"
"14","42.606666666666655","42.606666666666655","42.606666666666655"
"15","42.606666666666655","42.606666666666655","42.606666666666655"
"16","42.606666666666655","42.606666666666655","42.606666666666655"
"17","42.606666666666655","42.606666666666655","42.606666666666655"
"18","42.606666666666655","42.606666666666655","42.606666666666655"
"19","42.606666666666655","42.606666666666655","42.606666666666655"