"Step","lr-cosine-infer-beauty640-400e - psnr","lr-cosine-infer-beauty640-400e - psnr__MIN","lr-cosine-infer-beauty640-400e - psnr__MAX"
"0","47.949666666666666","47.949666666666666","47.949666666666666"
"1","49.77666666666667","49.77666666666667","49.77666666666667"
"2","49.77666666666667","49.77666666666667","49.77666666666667"
"3","49.77666666666667","49.77666666666667","49.77666666666667"
"4","49.77666666666667","49.77666666666667","49.77666666666667"
"5","49.77666666666667","49.77666666666667","49.77666666666667"
"6","49.77666666666667","49.77666666666667","49.77666666666667"
"7","49.77666666666667","49.77666666666667","49.77666666666667"
"8","50.365666666666655","50.365666666666655","50.365666666666655"
"9","50.758333333333326","50.758333333333326","50.758333333333326"
"10","50.758333333333326","50.758333333333326","50.758333333333326"
"11","50.758333333333326","50.758333333333326","50.758333333333326"
"12","50.758333333333326","50.758333333333326","50.758333333333326"
"13","50.758333333333326","50.758333333333326","50.758333333333326"
"14","50.758333333333326","50.758333333333326","50.758333333333326"
"15","50.758333333333326","50.758333333333326","50.758333333333326"
"16","50.758333333333326","50.758333333333326","50.758333333333326"
"17","50.758333333333326","50.758333333333326","50.758333333333326"