"Step","lr-cosine-infer-bosphorus640-400e - psnr","lr-cosine-infer-bosphorus640-400e - psnr__MIN","lr-cosine-infer-bosphorus640-400e - psnr__MAX"
"0","44.13466666666666","44.13466666666666","44.13466666666666"
"1","45.79666666666665","45.79666666666665","45.79666666666665"
"2","45.79666666666665","45.79666666666665","45.79666666666665"
"3","45.79666666666665","45.79666666666665","45.79666666666665"
"4","45.79666666666665","45.79666666666665","45.79666666666665"
"5","45.79666666666665","45.79666666666665","45.79666666666665"
"6","45.79666666666665","45.79666666666665","45.79666666666665"
"7","45.79666666666665","45.79666666666665","45.79666666666665"
"8","46.257666666666665","46.257666666666665","46.257666666666665"
"9","46.565000000000005","46.565000000000005","46.565000000000005"
"10","46.565000000000005","46.565000000000005","46.565000000000005"
"11","46.565000000000005","46.565000000000005","46.565000000000005"
"12","46.565000000000005","46.565000000000005","46.565000000000005"
"13","46.565000000000005","46.565000000000005","46.565000000000005"
"14","46.565000000000005","46.565000000000005","46.565000000000005"
"15","46.565000000000005","46.565000000000005","46.565000000000005"
"16","46.565000000000005","46.565000000000005","46.565000000000005"
"17","46.565000000000005","46.565000000000005","46.565000000000005"
"18","46.565000000000005","46.565000000000005","46.565000000000005"
"19","46.565000000000005","46.565000000000005","46.565000000000005"