"Step","lr-cosine-infer-jockey640-400e - psnr","lr-cosine-infer-jockey640-400e - psnr__MIN","lr-cosine-infer-jockey640-400e - psnr__MAX"
"0","42.18066666666667","42.18066666666667","42.18066666666667"
"1","43.47666666666667","43.47666666666667","43.47666666666667"
"2","43.47666666666667","43.47666666666667","43.47666666666667"
"3","43.47666666666667","43.47666666666667","43.47666666666667"
"4","43.47666666666667","43.47666666666667","43.47666666666667"
"5","43.47666666666667","43.47666666666667","43.47666666666667"
"6","43.47666666666667","43.47666666666667","43.47666666666667"
"7","43.47666666666667","43.47666666666667","43.47666666666667"
"8","45.77866666666666","45.77866666666666","45.77866666666666"
"9","47.313333333333325","47.313333333333325","47.313333333333325"
"10","47.313333333333325","47.313333333333325","47.313333333333325"
"11","47.313333333333325","47.313333333333325","47.313333333333325"
"12","47.313333333333325","47.313333333333325","47.313333333333325"
"13","47.313333333333325","47.313333333333325","47.313333333333325"
"14","47.313333333333325","47.313333333333325","47.313333333333325"
"15","47.313333333333325","47.313333333333325","47.313333333333325"
"16","47.313333333333325","47.313333333333325","47.313333333333325"
"17","47.313333333333325","47.313333333333325","47.313333333333325"
"18","47.313333333333325","47.313333333333325","47.313333333333325"
"19","47.313333333333325","47.313333333333325","47.313333333333325"