"Step","lr-cosine-infer-ready640-400e - psnr","lr-cosine-infer-ready640-400e - psnr__MIN","lr-cosine-infer-ready640-400e - psnr__MAX"
"0","42.153","42.153","42.153"
"1","44.205000000000005","44.205000000000005","44.205000000000005"
"2","44.205000000000005","44.205000000000005","44.205000000000005"
"3","44.205000000000005","44.205000000000005","44.205000000000005"
"4","44.205000000000005","44.205000000000005","44.205000000000005"
"5","44.205000000000005","44.205000000000005","44.205000000000005"
"6","44.205000000000005","44.205000000000005","44.205000000000005"
"7","44.205000000000005","44.205000000000005","44.205000000000005"
"8","43.788999999999994","43.788999999999994","43.788999999999994"
"9","43.511666666666656","43.511666666666656","43.511666666666656"
"10","43.511666666666656","43.511666666666656","43.511666666666656"
"11","43.511666666666656","43.511666666666656","43.511666666666656"
"12","43.511666666666656","43.511666666666656","43.511666666666656"
"13","43.511666666666656","43.511666666666656","43.511666666666656"
"14","43.511666666666656","43.511666666666656","43.511666666666656"
"15","43.511666666666656","43.511666666666656","43.511666666666656"
"16","43.511666666666656","43.511666666666656","43.511666666666656"
"17","43.511666666666656","43.511666666666656","43.511666666666656"
"18","43.511666666666656","43.511666666666656","43.511666666666656"
"19","43.511666666666656","43.511666666666656","43.511666666666656"